subject,robot,target_id,moves
141115,white,14000,"['2,1', '3,1', '5,2', '3,2', '6,4', '4,5', '4,6', '1,3', '0,3']"
141115,white,2290,"['6,3', '1,3', '1,6', '6,6', '1,2', '2,4']"
141115,white,10950,"['0,4', '6,4', '3,5', '2,2', '3,2']"
141115,white,7246,"['0,5', '3,5', '1,6', '4,4', '6,4', '1,2', '0,1', '2,4']"
141115,white,5663,"['0,4', '4,4', '3,3', '1,1', '2,5', '2,6', '5,4', '1,0', '0,3']"
141115,white,13565,"['4,5', '2,1', '3,3', '5,6', '1,0', '2,4', '2,6', '5,4']"
141115,white,17648,"['3,4', '5,1', '4,3', '4,5', '4,0', '2,2']"
141115,blue,10950,"['0,0', '1,1', '1,0', '0,3', '0,4', '6,4']"
141115,blue,14000,"['2,1', '6,1', '6,4']"
141115,blue,8232,"['4,5', '3,1', '2,1', '3,2', '2,5', '5,4']"
141115,blue,7246,"['0,2', '0,5', '3,5', '2,3']"
141115,blue,2290,"['1,3', '6,3', '2,4', '5,5']"
141115,blue,13565,"['2,1', '3,4']"
141115,blue,1710,"['0,1', '2,3', '3,4']"
141115,blue,5663,"['0,0', '0,0', '0,0', '4,0', '2,0', '3,0', '0,4', '3,1', '0,3']"
141115,blue,17648,"['3,1', '5,1', '4,2', '4,3']"
141115,blue,10934,"['1,1', '4,2', '4,4', '6,5', '3,3']"
141344,white,10950,"['0,0', '0,1', '6,4', '1,1', '1,0']"
141344,white,7246,"['0,2', '1,2', '3,5', '4,2', '0,1', '0,6', '1,3']"
141344,white,1710,"['0,1', '1,2', '4,1', '0,5', '0,4', '0,0']"
141344,white,14000,"['2,1', '2,4', '6,4', '6,1', '1,0', '2,0', '3,2', '1,1']"
141344,white,10934,"['1,1', '6,5', '0,1', '6,0', '6,6', '3,3']"
141344,white,2290,"['1,3', '2,4', '6,6', '0,3', '6,3', '6,2']"
141344,white,8232,"['2,1', '2,2', '4,5', '2,0', '1,1', '5,1', '4,6', '3,2']"
141344,white,13565,"['2,1', '3,2', '5,1', '1,1', '2,0', '2,5', '2,5', '2,4', '2,6', '4,5']"
141344,white,17648,"['3,1', '4,1', '4,2', '3,4', '5,4', '5,4', '2,4', '6,1', '4,5']"
141344,white,5663,"['4,4', '4,5', '5,4', '1,1', '0,0', '0,0', '0,1']"
141344,blue,17648,"['3,1', '4,1', '4,2', '4,4']"
141344,blue,10950,"['0,0', '6,1', '5,3']"
141344,blue,1710,"['0,1', '3,4', '2,3']"
141344,blue,8232,"['2,1', '3,5', '3,4']"
141344,blue,5663,"['0,0', '4,4', '3,4']"
141344,blue,13565,"['2,1', '3,2', '4,5']"
141344,blue,7246,"['0,2', '3,5', '2,4', '2,4', '2,3']"
141344,blue,14000,"['2,1', '6,4']"
141344,blue,2290,"['1,3', '2,4', '6,6']"
141344,blue,10934,"['1,1', '6,5', '3,3', '5,3']"
160858,white,10934,"['6,1', '6,5', '1,5', '6,0', '0,1', '1,1', '1,1', '1,1', '3,2', '3,4', '3,3']"
160858,white,10950,"['6,0', '6,0', '6,0', '6,5', '6,4', '5,4', '5,3', '1,3']"
160858,white,17648,"['6,0', '3,4', '2,5', '4,3']"
160858,white,8232,"['4,0', '1,1', '4,5', '4,4', '3,1', '5,3', '3,5']"
160858,white,13565,"['4,1', '2,5', '3,3', '5,5', '2,0', '2,2', '2,6']"
160858,white,2290,"['0,6', '1,2', '6,3', '1,6']"
160858,white,14000,"['6,0', '1,4', '2,0', '1,1', '6,4', '6,5', '5,3', '2,1', '3,1']"
160858,white,5663,"['4,4', '5,4', '4,5', '0,0', '3,3']"
160858,white,1710,"['3,0', '3,5', '4,1', '3,4', '0,1', '1,2', '1,3']"
160858,white,7246,"['3,6', '4,5', '4,2', '3,2', '3,1', '0,2', '0,5']"
160858,blue,17648,"['4,4', '4,2', '3,1']"
160858,blue,10950,"['6,4', '0,0', '0,1', '1,0', '1,2']"
160858,blue,13565,"['3,3', '3,1', '3,5']"
160858,blue,7246,"['3,2', '1,2', '2,5', '0,4']"
160858,blue,14000,"['2,1', '6,3', '4,4']"
160858,blue,2290,"['6,3', '1,6', '5,4']"
160858,blue,8232,"['4,5', '2,1', '3,3']"
160858,blue,1710,"['3,1', '0,4', '1,3']"
160858,blue,5663,"['4,4', '4,4', '4,4', '0,0', '1,0']"
160858,blue,10934,"['6,1', '5,2', '1,5']"
195327,white,13565,"['3,4', '2,1', '2,1', '2,1', '2,1', '2,1', '5,5', '5,0', '0,0', '1,4']"
195327,white,7246,"['0,5', '2,2', '1,3', '3,5', '2,6', '2,1', '4,3']"
195327,white,10950,"['3,5', '6,6', '0,1', '6,3', '3,1', '0,4']"
195327,white,17648,"['2,1', '6,2', '3,2', '5,2', '4,2', '4,1', '4,1', '4,1', '4,5']"
195327,white,8232,"['1,3', '2,3', '4,4', '5,1', '3,2', '3,2', '3,2', '2,1', '3,0', '2,6']"
195327,white,2290,"['0,6', '1,2', '3,4', '3,4', '3,4', '1,3', '6,4', '3,5']"
195327,white,14000,"['3,3', '5,2', '6,4', '2,1', '5,1', '3,5', '1,4', '0,3']"
195327,white,5663,"['4,4', '4,4', '4,4', '0,0', '4,0', '2,2', '1,1', '4,2', '0,3']"
195327,white,10934,"['2,3', '2,3', '3,3', '2,3', '6,5', '1,1', '3,2', '3,4', '5,3', '4,3']"
195327,white,1710,"['3,4', '3,4', '3,4', '0,1', '3,1', '2,2', '0,4', '0,5', '4,4', '0,0']"
195327,blue,17648,"['5,3', '4,2', '5,3', '5,4', '2,1', '3,1', '2,1']"
195327,blue,13565,"['2,1', '4,5', '3,3', '2,4']"
195327,blue,7246,"['0,2', '0,2', '0,2', '2,5', '3,2', '1,3', '1,3', '1,3', '1,3', '2,3', '3,5', '0,5', '3,4', '3,3', '4,3', '3,1']"
195327,blue,14000,"['4,2', '2,1', '2,2', '6,2', '3,4']"
195327,blue,10950,"['4,6', '0,1', '6,4', '6,3', '6,4', '3,2', '1,2', '1,2', '1,3', '6,0']"
195327,blue,2290,"['2,5', '0,6', '1,3', '6,6']"
195327,blue,1710,"['3,4', '0,1', '3,5', '2,2']"
195327,blue,8232,"['2,1', '2,1', '2,1', '4,4', '3,3', '3,3', '2,4', '4,4', '4,4', '4,4', '2,4', '4,4', '2,4', '4,5', '3,2', '3,6', '5,4']"
195327,blue,5663,"['2,2', '0,0', '4,4', '1,4']"
195327,blue,10934,"['3,3', '6,5', '1,1', '2,3']"
214635,white,17648,"['3,1', '4,2', '3,5', '2,1', '3,0', '3,4']"
214635,white,10950,"['0,0', '6,4', '5,3', '4,3']"
214635,white,7246,"['0,2', '3,5', '0,1', '4,5', '2,5', '3,6', '2,4']"
214635,white,5663,"['0,0', '4,4', '3,3', '4,3']"
214635,white,2290,"['1,3', '1,3', '1,3', '2,4', '5,5', '6,6', '6,3', '6,2']"
214635,white,10934,"['1,1', '3,3', '6,6', '6,5', '6,5', '6,5', '0,1', '1,2']"
214635,white,8232,"['2,1', '2,2', '1,0', '5,6', '5,0', '1,6', '4,5', '5,5', '1,1', '2,0', '2,6', '3,2']"
214635,white,13565,"['2,1', '3,2', '2,0', '5,1', '1,1', '2,6', '4,2', '4,5']"
214635,white,1710,"['0,1', '3,4', '3,1', '0,4', '0,0', '4,4', '3,5']"
214635,white,14000,"['2,1', '6,4', '2,4', '6,1', '1,0', '3,2', '6,5', '1,4', '2,0']"
214635,blue,7246,"['0,2', '1,2', '0,3', '3,2', '0,5']"
214635,blue,5663,"['0,0', '4,0', '4,4', '4,3', '3,4', '3,3', '5,5']"
214635,blue,2290,"['1,3', '2,4', '6,6']"
214635,blue,17648,"['3,1', '4,2', '4,3']"
214635,blue,13565,"['2,1', '4,5', '3,2']"
214635,blue,10934,"['1,1', '6,5', '4,3', '5,4']"
214635,blue,14000,"['2,1', '6,4']"
214635,blue,1710,"['0,1', '3,4', '2,3']"
214635,blue,8232,"['2,1', '3,2', '4,5', '2,2']"
214635,blue,10950,"['0,0', '1,1', '6,4']"
